BKZ(1),Bezirk bzw.Stadt mit eigenem Statut (*)(Sitz derBezirkshaupt­mannschaft),Bundesland,Kfz-Kz.,Fläche[2]in km²Gebiets­stand:1. Jänner 2020,Einwohner[3]Gebiets­stand:1. Jänner 2019,Bevölkerungs­dichte(EW/km²),Anz.,Regions­name(R)
305,Amstetten,Niederösterreich,AM,1186,116.114,98,33,
306,Baden,Niederösterreich,BN,754,146.203,194,30,
801,Bludenz,Vorarlberg,BZ,1286,64.103,50,29,
404,Braunau am Inn,Oberösterreich,BR,1040,104.408,100,46,
802,Bregenz,Vorarlberg,B,865,134.989,156,40,
307,Bruck an der Leitha,Niederösterreich,"BL, SW(C)WU(A)",703,102.010,145,33,
621,Bruck-Mürzzuschlag(Bruck an der Mur),Steiermark,BMMZ(A),2155,98.984,46,19,
603,Deutschlandsberg,Steiermark,DL,864,60.821,70,15,
803,Dornbirn,Vorarlberg,DO,172,89.879,522,3,
405,Eferding(Grieskirchen),Oberösterreich,EF,260,33.156,128,12,
101,Eisenstadt *,Burgenland,E,43,14.637,342,1,
103,Eisenstadt-Umgebung(Eisenstadt),Burgenland,EU,453,42.927,95,23,
804,Feldkirch,Vorarlberg,FK,278,108.123,389,24,
210,Feldkirchen(Feldkirchen in Kärnten),Kärnten,FE,559,29.937,54,10,
406,Freistadt,Oberösterreich,FR,994,66.621,67,27,
308,Gänserndorf,Niederösterreich,GF,1272,103.686,82,44,
309,Gmünd,Niederösterreich,GD,787,36.773,47,21,
407,Gmunden,Oberösterreich,GM,1433,101.631,71,20,
601,Graz *,Steiermark,G,127,288.806,2266,1,
606,Graz-Umgebung(Graz),Steiermark,GU,1086,154.260,142,36,
408,Grieskirchen,Oberösterreich,GR,579,64.721,112,33,
−,Gröbming(Expositur im Bezirk Liezen),Steiermark,GB,Zahlen im Bezirk Liezen enthalten,Zahlen im Bezirk Liezen enthalten,Zahlen im Bezirk Liezen enthalten,Zahlen im Bezirk Liezen enthalten,
104,Güssing,Burgenland,GS,485,25.797,53,28,
502,Hallein,Salzburg,HA,669,60.374,90,13,Tennengau
622,Hartberg-Fürstenfeld(Hartberg),Steiermark,"HFHB, FF(A)",1228,90.622,74,36,
203,Hermagor(Hermagor-Pressegger See),Kärnten,HE,809,18.224,23,7,
310,Hollabrunn,Niederösterreich,HL,1011,50.858,50,24,
311,Horn,Niederösterreich,HO,784,31.090,40,20,
702,Imst,Tirol,IM,1724,60.056,35,24,
701,Innsbruck *,Tirol,I,105,132.110,1260,1,
703,Innsbruck-Land(Innsbruck),Tirol,IL,1989,179.318,90,65,
105,Jennersdorf,Burgenland,JE,253,17.066,67,12,
409,Kirchdorf an der Krems,Oberösterreich,KI,1239,56.866,46,23,
704,Kitzbühel,Tirol,KB,1162,63.881,55,20,
201,Klagenfurt am Wörthersee *,Kärnten,K,120,100.817,840,1,
204,Klagenfurt-Land(Klagenfurt am Wörthersee),Kärnten,KL,766,59.800,78,19,
312,Korneuburg,Niederösterreich,KOWU(A),662,90.889,137,20,
301,Krems an der Donau *,Niederösterreich,KS,52,24.876,481,1,
313,Krems(Krems an der Donau),Niederösterreich,KR,923,56.596,61,30,
705,Kufstein,Tirol,KU,969,109.682,113,30,
706,Landeck,Tirol,LA,1595,44.362,28,30,
610,Leibnitz,Steiermark,LB,751,84.155,112,29,
611,Leoben,Steiermark,"LE, LN(B)",1052,60.060,57,16,
707,Lienz,Tirol,LZ,2019,48.753,24,33,Osttirol
612,Liezen,Steiermark,LIBA(A),3315,79.901,24,29,
314,Lilienfeld,Niederösterreich,LF,932,25.812,28,14,
401,Linz *,Oberösterreich,L,96,205.726,2143,1,
410,Linz-Land(Linz),Oberösterreich,LL,460,150.273,327,22,
106,Mattersburg,Burgenland,MA,238,39.925,168,19,
315,Melk,Niederösterreich,ME,1014,77.962,77,40,
316,Mistelbach,Niederösterreich,MI,1293,75.483,58,36,
317,Mödling,Niederösterreich,MD,277,118.998,429,20,
614,Murau,Steiermark,MU,1384,27.659,20,14,
620,Murtal(Judenburg),Steiermark,"MTJU, KF(A)",1676,72.004,43,20,
318,Neunkirchen,Niederösterreich,NK,1150,86.291,75,44,
107,Neusiedl am See,Burgenland,ND,1038,59.552,57,27,
108,Oberpullendorf,Burgenland,OP,701,37.513,54,28,Mittel­burgenland
109,Oberwart,Burgenland,OW,732,54.076,74,32,
411,Perg,Oberösterreich,PE,613,68.459,112,26,
708,Reutte,Tirol,RE,1236,32.670,26,37,Außerfern
412,Ried im Innkreis,Oberösterreich,RI,584,61.204,105,36,
413,Rohrbach(Rohrbach-Berg),Oberösterreich,RO,817,56.524,69,37,
102,Rust *,Burgenland,E,20,1940,97,1,
501,Salzburg *,Salzburg,S,66,154.211,2349,1,
503,Salzburg-Umgebung(Salzburg),Salzburg,SL,1005,152.281,152,37,Flachgau
504,Sankt Johann im Pongau,Salzburg,JO,1755,80.573,46,26,Pongau
302,St. Pölten *,Niederösterreich,P,108,55.044,508,1,
319,St. Pölten,Niederösterreich,PLWU(A),1288,131.044,102,45,
205,Sankt Veit an der Glan,Kärnten,SV,1494,54.555,37,20,
414,Schärding,Oberösterreich,SD,618,57.307,93,30,
320,Scheibbs,Niederösterreich,SB,1024,41.403,40,18,
709,Schwaz,Tirol,SZ,1842,83.873,46,39,
206,Spittal an der Drau,Kärnten,SP,2764,76.091,28,33,
402,Steyr *,Oberösterreich,SR,27,38.193,1439,1,
415,Steyr-Land(Steyr),Oberösterreich,SE,973,60.427,62,20,
623,Südoststeiermark(Feldbach),Steiermark,"SOFB, RA(A)",985,84.276,86,25,
505,Tamsweg,Salzburg,TA,1020,20.320,20,15,Lungau
321,Tulln(Tulln an der Donau),Niederösterreich,TUWU(A),734,103.771,141,22,
416,Urfahr-Umgebung(Linz),Oberösterreich,UU,660,85.505,130,27,
202,Villach *,Kärnten,VI,135,62.243,461,1,
207,Villach-Land(Villach),Kärnten,VL,1009,64.668,64,19,
616,Voitsberg,Steiermark,VO,679,51.161,75,15,
417,Vöcklabruck,Oberösterreich,VB,1085,136.253,126,52,
208,Völkermarkt,Kärnten,VK,908,41.878,46,13,
322,Waidhofen an der Thaya,Niederösterreich,WT,669,25.888,39,15,
303,Waidhofen an der Ybbs *,Niederösterreich,WY,131,11.261,86,1,
617,Weiz,Steiermark,WZ,1098,90.343,82,31,
403,Wels *,Oberösterreich,WE,46,61.727,1345,1,
418,Wels-Land(Wels),Oberösterreich,WL,458,73.094,160,24,
900,Wien *,Wien,W,415,1.897.491,4573,1,
304,Wiener Neustadt *,Niederösterreich,WN,61,45.277,744,1,
323,Wiener Neustadt,Niederösterreich,WB,972,77.991,80,35,
209,Wolfsberg,Kärnten,WO,974,52.726,54,9,
506,Zell am See,Salzburg,ZE,2642,87.462,33,28,Pinzgau
325,Zwettl(Zwettl-Niederösterreich),Niederösterreich,ZT,1399,42.222,30,24,
